Time [s],WAKE,TX,RX,FAULT
2021-04-24T07:47:34.502252316+00:00,1,1,0,1
2021-04-24T07:47:34.502256286+00:00,1,1,1,1
2021-04-24T07:47:34.502256302+00:00,1,1,0,1
2021-04-24T07:47:34.502256310+00:00,1,1,1,1
2021-04-24T07:47:34.502264272+00:00,1,1,0,1
2021-04-24T07:47:34.502264286+00:00,1,1,1,1
2021-04-24T07:47:34.502264296+00:00,1,1,0,1
2021-04-24T07:47:34.502288230+00:00,1,1,1,1
2021-04-24T07:47:34.502288242+00:00,1,1,0,1
2021-04-24T07:47:34.502288252+00:00,1,1,1,1
2021-04-24T07:47:34.502292222+00:00,1,1,0,1
2021-04-24T07:47:34.502292238+00:00,1,1,1,1
2021-04-24T07:47:34.502292244+00:00,1,1,0,1
2021-04-24T07:47:34.502296214+00:00,1,1,1,1
2021-04-24T07:47:34.502296232+00:00,1,1,0,1
2021-04-24T07:47:34.502296238+00:00,1,1,1,1
2021-04-24T07:47:34.502304200+00:00,1,1,0,1
2021-04-24T07:47:34.502304214+00:00,1,1,1,1
2021-04-24T07:47:34.502304224+00:00,1,1,0,1
2021-04-24T07:47:34.502328156+00:00,1,1,1,1
2021-04-24T07:47:34.502328168+00:00,1,1,0,1
2021-04-24T07:47:34.502328178+00:00,1,1,1,1
2021-04-24T07:47:34.502332146+00:00,1,1,0,1
2021-04-24T07:47:34.502332164+00:00,1,1,1,1
2021-04-24T07:47:34.502332170+00:00,1,1,0,1
2021-04-24T07:47:34.502336140+00:00,1,1,1,1
2021-04-24T07:47:34.502336156+00:00,1,1,0,1
2021-04-24T07:47:34.502336162+00:00,1,1,1,1
2021-04-24T07:47:34.502340132+00:00,1,1,0,1
2021-04-24T07:47:34.502340148+00:00,1,1,1,1
2021-04-24T07:47:34.502340156+00:00,1,1,0,1
2021-04-24T07:47:34.502344126+00:00,1,1,1,1
2021-04-24T07:47:34.502356104+00:00,1,1,0,1
2021-04-24T07:47:34.502356118+00:00,1,1,1,1
2021-04-24T07:47:34.502356128+00:00,1,1,0,1
2021-04-24T07:47:34.502364090+00:00,1,1,1,1
2021-04-24T07:47:34.502372076+00:00,1,1,0,1
2021-04-24T07:47:34.502372090+00:00,1,1,1,1
2021-04-24T07:47:34.502372100+00:00,1,1,0,1
2021-04-24T07:47:34.502380062+00:00,1,1,1,1
2021-04-24T07:47:34.502392040+00:00,1,1,0,1
2021-04-24T07:47:34.502392054+00:00,1,1,1,1
2021-04-24T07:47:34.502392064+00:00,1,1,0,1
2021-04-24T07:47:34.502396032+00:00,1,1,1,1
2021-04-24T07:47:34.502400026+00:00,1,1,0,1
2021-04-24T07:47:34.502400040+00:00,1,1,1,1
2021-04-24T07:47:34.502400050+00:00,1,1,0,1
2021-04-24T07:47:34.502408010+00:00,1,1,1,1
2021-04-24T07:47:34.502408028+00:00,1,1,0,1
2021-04-24T07:47:34.502408030+00:00,1,1,1,1
2021-04-24T07:47:34.502416002+00:00,1,0,1,1
2021-04-24T07:47:34.502419974+00:00,1,1,1,1
2021-04-24T07:47:34.502419978+00:00,1,0,1,1
2021-04-24T07:47:34.502419994+00:00,1,1,1,1
2021-04-24T07:47:34.502427990+00:00,1,0,1,1
2021-04-24T07:47:34.502451968+00:00,1,1,1,1
2021-04-24T07:47:34.502457714+00:00,1,0,1,1
2021-04-24T07:47:34.502461688+00:00,1,1,1,1
2021-04-24T07:47:34.502461692+00:00,1,0,1,1
2021-04-24T07:47:34.502461708+00:00,1,1,1,1
2021-04-24T07:47:34.502499678+00:00,1,0,1,1
2021-04-24T07:47:34.502503652+00:00,1,1,1,1
2021-04-24T07:47:34.502503656+00:00,1,0,1,1
2021-04-24T07:47:34.502503670+00:00,1,1,1,1
2021-04-24T07:47:34.502541392+00:00,1,0,1,1
2021-04-24T07:47:34.502577360+00:00,1,1,1,1
2021-04-24T07:47:34.502583358+00:00,1,0,1,1
2021-04-24T07:47:34.502611312+00:00,1,1,1,1
2021-04-24T07:47:34.502611314+00:00,1,0,1,1
2021-04-24T07:47:34.502611332+00:00,1,1,1,1
2021-04-24T07:47:34.502625074+00:00,1,0,1,1
2021-04-24T07:47:34.502637042+00:00,1,1,1,1
2021-04-24T07:47:34.502637044+00:00,1,0,1,1
2021-04-24T07:47:34.502637062+00:00,1,1,1,1
2021-04-24T07:47:34.502641060+00:00,1,0,1,1
2021-04-24T07:47:34.502653028+00:00,1,1,1,1
2021-04-24T07:47:34.502653030+00:00,1,0,1,1
2021-04-24T07:47:34.502653048+00:00,1,1,1,1
2021-04-24T07:47:34.502657046+00:00,1,0,1,1
2021-04-24T07:47:34.502661020+00:00,1,1,1,1
2021-04-24T07:47:34.502661024+00:00,1,0,1,1
2021-04-24T07:47:34.502661040+00:00,1,1,1,1
2021-04-24T07:47:34.502667038+00:00,1,0,1,1
2021-04-24T07:47:34.502679004+00:00,1,1,1,1
2021-04-24T07:47:34.502679008+00:00,1,0,1,1
2021-04-24T07:47:34.502679026+00:00,1,1,1,1
2021-04-24T07:47:34.502683024+00:00,1,0,1,1
2021-04-24T07:47:34.502686998+00:00,1,1,1,1
2021-04-24T07:47:34.502687000+00:00,1,0,1,1
2021-04-24T07:47:34.502687018+00:00,1,1,1,1
2021-04-24T07:47:34.502699008+00:00,1,0,1,1
2021-04-24T07:47:34.502702982+00:00,1,1,1,1
2021-04-24T07:47:34.502702986+00:00,1,0,1,1
2021-04-24T07:47:34.502703002+00:00,1,1,1,1
2021-04-24T07:47:34.517718228+00:00,1,1,0,1
2021-04-24T07:47:34.517718238+00:00,1,1,1,1
2021-04-24T07:47:34.517718252+00:00,1,1,0,1
2021-04-24T07:47:34.517722220+00:00,1,1,1,1
2021-04-24T07:47:34.517726218+00:00,1,1,0,1
2021-04-24T07:47:34.517726230+00:00,1,1,1,1
2021-04-24T07:47:34.517726240+00:00,1,1,0,1
2021-04-24T07:47:34.517734208+00:00,1,1,1,1
2021-04-24T07:47:34.517738204+00:00,1,1,0,1
2021-04-24T07:47:34.517738218+00:00,1,1,1,1
2021-04-24T07:47:34.517738226+00:00,1,1,0,1
2021-04-24T07:47:34.517750190+00:00,1,1,1,1
2021-04-24T07:47:34.517750204+00:00,1,1,0,1
2021-04-24T07:47:34.517750214+00:00,1,1,1,1
2021-04-24T07:47:34.517758182+00:00,1,1,0,1
2021-04-24T07:47:34.517758196+00:00,1,1,1,1
2021-04-24T07:47:34.517758206+00:00,1,1,0,1
2021-04-24T07:47:34.517794144+00:00,1,1,1,1
2021-04-24T07:47:34.517794154+00:00,1,1,0,1
2021-04-24T07:47:34.517794166+00:00,1,1,1,1
2021-04-24T07:47:34.517798138+00:00,1,1,0,1
2021-04-24T07:47:34.517798154+00:00,1,1,1,1
2021-04-24T07:47:34.517798160+00:00,1,1,0,1
2021-04-24T07:47:34.517834098+00:00,1,1,1,1
2021-04-24T07:47:34.517834108+00:00,1,1,0,1
2021-04-24T07:47:34.517834120+00:00,1,1,1,1
2021-04-24T07:47:34.517838092+00:00,1,1,0,1
2021-04-24T07:47:34.517838108+00:00,1,1,1,1
2021-04-24T07:47:34.517838114+00:00,1,1,0,1
2021-04-24T07:47:34.517842088+00:00,1,1,1,1
2021-04-24T07:47:34.517842102+00:00,1,1,0,1
2021-04-24T07:47:34.517842110+00:00,1,1,1,1
2021-04-24T07:47:34.517850078+00:00,1,1,0,1
2021-04-24T07:47:34.517850092+00:00,1,1,1,1
2021-04-24T07:47:34.517850102+00:00,1,1,0,1
2021-04-24T07:47:34.517874052+00:00,1,1,1,1
2021-04-24T07:47:34.517874064+00:00,1,1,0,1
2021-04-24T07:47:34.517874074+00:00,1,1,1,1
2021-04-24T07:47:34.517878046+00:00,1,1,0,1
2021-04-24T07:47:34.517878064+00:00,1,1,1,1
2021-04-24T07:47:34.517878070+00:00,1,1,0,1
2021-04-24T07:47:34.517882044+00:00,1,1,1,1
2021-04-24T07:47:34.517882058+00:00,1,1,0,1
2021-04-24T07:47:34.517882066+00:00,1,1,1,1
2021-04-24T07:47:34.517890036+00:00,1,1,0,1
2021-04-24T07:47:34.517890050+00:00,1,1,1,1
2021-04-24T07:47:34.517890058+00:00,1,1,0,1
2021-04-24T07:47:34.517914010+00:00,1,1,1,1
2021-04-24T07:47:34.517914022+00:00,1,1,0,1
2021-04-24T07:47:34.517914032+00:00,1,1,1,1
2021-04-24T07:47:34.517918004+00:00,1,1,0,1
2021-04-24T07:47:34.517918022+00:00,1,1,1,1
2021-04-24T07:47:34.517918026+00:00,1,1,0,1
2021-04-24T07:47:34.517922000+00:00,1,1,1,1
2021-04-24T07:47:34.517922016+00:00,1,1,0,1
2021-04-24T07:47:34.517922022+00:00,1,1,1,1
2021-04-24T07:47:34.517925996+00:00,1,1,0,1
2021-04-24T07:47:34.517926012+00:00,1,1,1,1
2021-04-24T07:47:34.517926018+00:00,1,1,0,1
2021-04-24T07:47:34.517929992+00:00,1,1,1,1
2021-04-24T07:47:34.517941980+00:00,1,1,0,1
2021-04-24T07:47:34.517941992+00:00,1,1,1,1
2021-04-24T07:47:34.517942004+00:00,1,1,0,1
2021-04-24T07:47:34.517949970+00:00,1,1,1,1
2021-04-24T07:47:34.517957962+00:00,1,1,0,1
2021-04-24T07:47:34.517957976+00:00,1,1,1,1
2021-04-24T07:47:34.517957986+00:00,1,1,0,1
2021-04-24T07:47:34.517965952+00:00,1,1,1,1
2021-04-24T07:47:34.517977940+00:00,1,1,0,1
2021-04-24T07:47:34.517977952+00:00,1,1,1,1
2021-04-24T07:47:34.517977964+00:00,1,1,0,1
2021-04-24T07:47:34.517981934+00:00,1,1,1,1
2021-04-24T07:47:34.517985932+00:00,1,1,0,1
2021-04-24T07:47:34.517985946+00:00,1,1,1,1
2021-04-24T07:47:34.517985954+00:00,1,1,0,1
2021-04-24T07:47:34.517993922+00:00,1,1,1,1
2021-04-24T07:47:34.517993940+00:00,1,1,0,1
2021-04-24T07:47:34.517993942+00:00,1,1,1,1
2021-04-24T07:47:34.518001846+00:00,1,0,1,1
2021-04-24T07:47:34.518005820+00:00,1,1,1,1
2021-04-24T07:47:34.518005826+00:00,1,0,1,1
2021-04-24T07:47:34.518005840+00:00,1,1,1,1
2021-04-24T07:47:34.518013836+00:00,1,0,1,1
2021-04-24T07:47:34.518037794+00:00,1,1,1,1
2021-04-24T07:47:34.518037796+00:00,1,0,1,1
2021-04-24T07:47:34.518037814+00:00,1,1,1,1
2021-04-24T07:47:34.518043560+00:00,1,0,1,1
2021-04-24T07:47:34.518047534+00:00,1,1,1,1
2021-04-24T07:47:34.518047538+00:00,1,0,1,1
2021-04-24T07:47:34.518047554+00:00,1,1,1,1
2021-04-24T07:47:34.518085522+00:00,1,0,1,1
2021-04-24T07:47:34.518089496+00:00,1,1,1,1
2021-04-24T07:47:34.518089500+00:00,1,0,1,1
2021-04-24T07:47:34.518089516+00:00,1,1,1,1
2021-04-24T07:47:34.518127234+00:00,1,0,1,1
2021-04-24T07:47:34.518163204+00:00,1,1,1,1
2021-04-24T07:47:34.518169200+00:00,1,0,1,1
2021-04-24T07:47:34.518197174+00:00,1,1,1,1
2021-04-24T07:47:34.518210914+00:00,1,0,1,1
2021-04-24T07:47:34.518222880+00:00,1,1,1,1
2021-04-24T07:47:34.518222884+00:00,1,0,1,1
2021-04-24T07:47:34.518222900+00:00,1,1,1,1
2021-04-24T07:47:34.518226898+00:00,1,0,1,1
2021-04-24T07:47:34.518238866+00:00,1,1,1,1
2021-04-24T07:47:34.518238868+00:00,1,0,1,1
2021-04-24T07:47:34.518238886+00:00,1,1,1,1
2021-04-24T07:47:34.518242884+00:00,1,0,1,1
2021-04-24T07:47:34.518246858+00:00,1,1,1,1
2021-04-24T07:47:34.518246860+00:00,1,0,1,1
2021-04-24T07:47:34.518246878+00:00,1,1,1,1
2021-04-24T07:47:34.518252874+00:00,1,0,1,1
2021-04-24T07:47:34.518264842+00:00,1,1,1,1
2021-04-24T07:47:34.518264844+00:00,1,0,1,1
2021-04-24T07:47:34.518264862+00:00,1,1,1,1
2021-04-24T07:47:34.518268860+00:00,1,0,1,1
2021-04-24T07:47:34.518272834+00:00,1,1,1,1
2021-04-24T07:47:34.518272838+00:00,1,0,1,1
2021-04-24T07:47:34.518272854+00:00,1,1,1,1
2021-04-24T07:47:34.518284846+00:00,1,0,1,1
2021-04-24T07:47:34.518288820+00:00,1,1,1,1
2021-04-24T07:47:34.518288824+00:00,1,0,1,1
2021-04-24T07:47:34.518288840+00:00,1,1,1,1
2021-04-24T07:47:35.073366182+00:00,1,1,0,1
2021-04-24T07:47:35.073366194+00:00,1,1,1,1
2021-04-24T07:47:35.073366206+00:00,1,1,0,1
2021-04-24T07:47:35.073370172+00:00,1,1,1,1
2021-04-24T07:47:35.073374164+00:00,1,1,0,1
2021-04-24T07:47:35.073374178+00:00,1,1,1,1
2021-04-24T07:47:35.073374188+00:00,1,1,0,1
2021-04-24T07:47:35.073382146+00:00,1,1,1,1
2021-04-24T07:47:35.073406098+00:00,1,1,0,1
2021-04-24T07:47:35.073406108+00:00,1,1,1,1
2021-04-24T07:47:35.073406122+00:00,1,1,0,1
2021-04-24T07:47:35.073442022+00:00,1,1,1,1
2021-04-24T07:47:35.073442032+00:00,1,1,0,1
2021-04-24T07:47:35.073442044+00:00,1,1,1,1
2021-04-24T07:47:35.073446012+00:00,1,1,0,1
2021-04-24T07:47:35.073446030+00:00,1,1,1,1
2021-04-24T07:47:35.073446034+00:00,1,1,0,1
2021-04-24T07:47:35.073453996+00:00,1,1,1,1
2021-04-24T07:47:35.073454010+00:00,1,1,0,1
2021-04-24T07:47:35.073454018+00:00,1,1,1,1
2021-04-24T07:47:35.073457988+00:00,1,1,0,1
2021-04-24T07:47:35.073458004+00:00,1,1,1,1
2021-04-24T07:47:35.073458010+00:00,1,1,0,1
2021-04-24T07:47:35.073481938+00:00,1,1,1,1
2021-04-24T07:47:35.073481950+00:00,1,1,0,1
2021-04-24T07:47:35.073481960+00:00,1,1,1,1
2021-04-24T07:47:35.073485928+00:00,1,1,0,1
2021-04-24T07:47:35.073485944+00:00,1,1,1,1
2021-04-24T07:47:35.073485950+00:00,1,1,0,1
